image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,$,11.4,9.78151E+12,Biography,dataset/Biography/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141986005.jpg,Good Night Stories for Rebel Girls,Elena Favilli,Hardback,4.5,20.86,$,24,9.78014E+12,Biography,dataset/Biography/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241334140.jpg,Becoming,Michelle Obama,Hardback,4.5,24.21,$,26,9.78024E+12,Biography,dataset/Biography/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511021.jpg,Educated,Tara Westover,Paperback,4.5,9.61,$,11.5,9.7801E+12,Biography,dataset/Biography/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9.78178E+12,Biography,dataset/Biography/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9.78141E+12,Biography,dataset/Biography/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Biography,dataset/Biography/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3455/9780345514400.jpg,I Know Why the Caged Bird Sings,Maya Angelou,Paperback,4,7.07,$,,9.78035E+12,Biography,dataset/Biography/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473695986.jpg,Brief Answers to the Big Questions,Stephen Hawking,Hardback,4.5,11.64,$,18,9.78147E+12,Biography,dataset/Biography/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473635302.jpg,Born A Crime,Trevor Noah,Paperback,4.5,8.3,$,12.4,9.78147E+12,Biography,dataset/Biography/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9978/9780997895827.jpg,Goodnight Stories for Rebel Girls 2,Elena Favilli,Hardback,4.5,21.15,$,30.9,9.781E+12,Biography,dataset/Biography/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846045127.jpg,The Choice,Edith Eger,Paperback,4.5,9.37,$,11.5,9.78185E+12,Biography,dataset/Biography/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5445/9781544512273.jpg,Can't Hurt Me,David Goggins,Paperback,4.5,19.37,$,,9.78154E+12,Biography,dataset/Biography/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753557525.jpg,Elon Musk,Ashlee Vance,Paperback,4,7.61,$,7.8,9.78075E+12,Biography,dataset/Biography/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9.78014E+12,Biography,dataset/Biography/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751529814.jpg,Tuesdays With Morrie,Mitch Albom,Paperback,4,5.15,$,11.4,9.78075E+12,Biography,dataset/Biography/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,Paperback,4.5,8.4,$,12.4,9.78151E+12,Biography,dataset/Biography/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5532/9780553296983.jpg,The Diary of a Young Girl,Anne Frank,Paperback,4,6.52,$,,9.78055E+12,Biography,dataset/Biography/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747585664.jpg,"Eat, Pray, Love",Elizabeth Gilbert,Paperback,3.5,8.86,$,11.4,9.78075E+12,Biography,dataset/Biography/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5290/9781529028485.jpg,No Friend but the Mountains,Behrouz Boochani,Paperback,4,8.68,$,12.4,9.78153E+12,Biography,dataset/Biography/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0621/9780062105240.jpg,The Happiness Project,Gretchen Rubin,Paperback,3.5,7.34,$,8.8,9.78006E+12,Biography,dataset/Biography/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780226583.jpg,I Am Malala,Malala Yousafzai,Paperback,4,8.25,$,11.4,9.78178E+12,Biography,dataset/Biography/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471146725.jpg,Shoe Dog,Phil Knight,Paperback,4.5,9.07,$,12.9,9.78147E+12,Biography,dataset/Biography/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753541647.jpg,Lean In,Sheryl Sandberg,Paperback,4,9.76,$,12.9,9.78075E+12,Biography,dataset/Biography/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753510995.jpg,"Screw It, Let's Do It",Sir Richard Branson,Paperback,4,4.15,$,4.7,9.78075E+12,Biography,dataset/Biography/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099539551.jpg,The Hare with Amber Eyes,Edmund de Waal,Paperback,4,12.75,$,13.9,9.7801E+12,Biography,dataset/Biography/0000026.jpg,26
