image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7303/9780730324218.jpg,The Barefoot Investor,Scott Pape,Paperback,4.5,14.06,$,17.6,9.78073E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4,8.3,$,9.5,9.78144E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4,11.5,$,15,9.78014E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4,8.9,$,12.4,9.78024E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241257401.jpg,Daring Greatly,Brene Brown,Paperback,4.5,9.6,$,12.4,9.78024E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0605/9780060555665.jpg,The Intelligent Investor,Benjamin Graham,Paperback,4,15.99,$,25.2,9.78006E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785042140.jpg,Dare to Lead,Brene Brown,Paperback,4,13.09,$,16,9.78179E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472139955.jpg,Mindset - Updated Edition,Carol Dweck,Paperback,4,8.6,$,13.9,9.78147E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091929114.jpg,The 4-Hour Work Week,Timothy Ferriss,Paperback,4,14.32,$,16,9.78009E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612680194.jpg,Rich Dad Poor Dad,Robert T. Kiyosaki,Paperback,4,7.34,$,,9.78161E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473637467.jpg,Factfulness,Hans Rosling,Hardback,4.5,11.82,$,18,9.78147E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0612/9780061241895.jpg,influence,Robert B. Cialdini,Paperback,4,11.38,$,19.1,9.78006E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847941497.jpg,Never Split the Difference,Chris Voss,Paperback,4.5,7.69,$,8.3,9.78185E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5011/9781501124020.jpg,Principles,Ray Dalio,Hardback,4,18.34,$,30.4,9.7815E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753557525.jpg,Elon Musk,Ashlee Vance,Paperback,4,7.61,$,7.8,9.78075E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,Paperback,4.5,8.4,$,12.4,9.78151E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472103536.jpg,Legacy,James Kerr,Paperback,4,9.7,$,16,9.78147E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6709/9780670921607.jpg,The Lean Startup,Eric Ries,Paperback,4,11.5,$,21,9.78067E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5956/9781595620156.jpg,StrengthsFinder 2.0,Tom Rath,Hardback,4,17.97,$,22.99,9.7816E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0918/9780091816971.jpg,Who Moved My Cheese,Spencer Johnson,Paperback,4,6.15,$,8.8,9.78009E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349411903.jpg,Deep Work,Cal Newport,Paperback,4,11.54,$,20.1,9.78035E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471146725.jpg,Shoe Dog,Phil Knight,Paperback,4.5,9.07,$,12.9,9.78147E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0993/9780099302780.jpg,"Guns, Germs And Steel",Jared Diamond,Paperback,4,13.17,$,13.9,9.7801E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753555200.jpg,Zero to One,Blake Masters,Paperback,4,9.7,$,11.5,9.78075E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3166/9780316679077.jpg,The Tipping Point,Malcolm Gladwell,Paperback,4,7.55,$,8.8,9.78032E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753541647.jpg,Lean In,Sheryl Sandberg,Paperback,4,9.76,$,12.9,9.78075E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753510995.jpg,"Screw It, Let's Do It",Sir Richard Branson,Paperback,4,4.15,$,4.7,9.78075E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4512/9780451205360.jpg,The Richest Man In Babylon,George S. Clason,Paperback,4.5,8.07,$,10.3,9.78045E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785041273.jpg,Tools of Titans,Timothy Ferriss,Paperback,4,18.23,$,,9.78179E+12,Business-Finance-Law,dataset/Business-Finance-Law/0000030.jpg,30
