image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4169/9781416947370.jpg,Dear Zoo,Rod Campbell,Board book,4.5,6.76,$,,9.78142E+12,Childrens-Books,dataset/Childrens-Books/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2410/9780241003008.jpg,The Very Hungry Caterpillar,Eric Carle,Board book,4.5,7.23,$,8.8,9.78024E+12,Childrens-Books,dataset/Childrens-Books/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1520/9780152067045.jpg,Where Is the Green Sheep?,Judy Horacek,Board book,4,7.98,$,,9.78015E+12,Childrens-Books,dataset/Childrens-Books/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8412/9781841215655.jpg,Giraffes Can't Dance,Giles Andreae,Paperback,4.5,7.3,$,8.8,9.78184E+12,Childrens-Books,dataset/Childrens-Books/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780671062.jpg,Secret Garden,Johanna Basford,Paperback,4.5,11.24,$,12.4,9.78178E+12,Childrens-Books,dataset/Childrens-Books/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853261589.jpg,The Little Prince,Antoine de Saint-Exupery,Paperback,4.5,3.19,$,,9.78185E+12,Childrens-Books,dataset/Childrens-Books/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9960/9780996099936.jpg,Have You Filled A Bucket Today?,Carol McCloud,Paperback,4.5,8.66,$,11.4,9.781E+12,Childrens-Books,dataset/Childrens-Books/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565355.jpg,Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,Hardback,3.5,15.43,$,26.3,9.78075E+12,Childrens-Books,dataset/Childrens-Books/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8595/9780859537278.jpg,There Was an Old Lady Who Swallowed a Fly,Pam Adams,Board book,4,5.89,$,6.2,9.78086E+12,Childrens-Books,dataset/Childrens-Books/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5525/9780552565974.jpg,Wonder,R. J. Palacio,Paperback,4.5,8.32,$,8.8,9.78055E+12,Childrens-Books,dataset/Childrens-Books/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4095/9781409549475.jpg,Look Inside Your Body,Louie Stowell,Hardback,4.5,10.65,$,12.9,9.78141E+12,Childrens-Books,dataset/Childrens-Books/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007513765.jpg,The Day the Crayons Quit,Drew Daywalt,Paperback,4.5,9.5,$,12.9,9.78001E+12,Childrens-Books,dataset/Childrens-Books/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142405802.jpg,The Snail and the Whale,Julia Donaldson,Paperback,4.5,8.75,$,8.95,9.78014E+12,Childrens-Books,dataset/Childrens-Books/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1425/9780142501122.jpg,Room on the Broom,Julia Donaldson,Paperback,4.5,8.11,$,8.95,9.78014E+12,Childrens-Books,dataset/Childrens-Books/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5452/9780545261241.jpg,The Wonky Donkey,Craig Smith,Paperback,4.5,6.45,$,9.3,9.78055E+12,Childrens-Books,dataset/Childrens-Books/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406331264.jpg,Ten Little Fingers and Ten Little Toes,Mem Fox,Board book,4,8.15,$,,9.78141E+12,Childrens-Books,dataset/Childrens-Books/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036137.jpg,Animal Farm,George Orwell,Paperback,4,7.98,$,10.3,9.78014E+12,Childrens-Books,dataset/Childrens-Books/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409303183.jpg,Peppa Pig: Little Library,Peppa Pig,Board book,4,7.22,$,,9.78141E+12,Childrens-Books,dataset/Childrens-Books/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3853/9780385376716.jpg,The Wonderful Things You Will Be,Emily Winfield Martin,Hardback,4.5,14.02,$,17,9.78039E+12,Childrens-Books,dataset/Childrens-Books/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761157281.jpg,Beautiful Oops!,Barney Saltzberg,Board book,4.5,11.87,$,13.95,9.78076E+12,Childrens-Books,dataset/Childrens-Books/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007215997.jpg,The Tiger Who Came to Tea,Judith Kerr,Paperback,4,7.34,$,8.8,9.78001E+12,Childrens-Books,dataset/Childrens-Books/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718157838.jpg,Me Before You,Jojo Moyes,Paperback,4.5,10.47,$,,9.78072E+12,Childrens-Books,dataset/Childrens-Books/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5914/9781591473145.jpg,What to Do When You Worry Too Much,Dawn Huebner,Paperback,4.5,12.7,$,14,9.78159E+12,Childrens-Books,dataset/Childrens-Books/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141340555.jpg,Roald Dahl's Marvellous Joke Book,Roald Dahl,Paperback,4,5.84,$,6.2,9.78014E+12,Childrens-Books,dataset/Childrens-Books/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099549482.jpg,To Kill A Mockingbird,Harper Lee,Paperback,4.5,6.26,$,7.8,9.7801E+12,Childrens-Books,dataset/Childrens-Books/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7805/9781780552491.jpg,Brain Games For Clever Kids,Gareth Moore,Paperback,4,4.5,$,6.2,9.78178E+12,Childrens-Books,dataset/Childrens-Books/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780674872.jpg,Enchanted Forest,Johanna Basford,Paperback,4.5,12.23,$,12.4,9.78178E+12,Childrens-Books,dataset/Childrens-Books/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1526/9780152632243.jpg,Possum Magic,Mem Fox,Paperback,4,8.07,$,8.3,9.78015E+12,Childrens-Books,dataset/Childrens-Books/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6798/9780679882817.jpg,Dr. Seuss's ABC,Dr. Seuss,Board book,4,4.58,$,,9.78068E+12,Childrens-Books,dataset/Childrens-Books/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406338539.jpg,I Want My Hat Back,Jon Klassen,Paperback,4.5,7.03,$,9.5,9.78141E+12,Childrens-Books,dataset/Childrens-Books/0000030.jpg,30
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1520/9780152060305.jpg,Whoever You Are,Mem Fox,Paperback,4,5.26,$,,9.78015E+12,Childrens-Books,dataset/Childrens-Books/0000031.jpg,31
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408845646.jpg,Harry Potter and the Philosopher's Stone,J. K. Rowling,Hardback,4.5,30.91,$,38.6,9.78141E+12,Childrens-Books,dataset/Childrens-Books/0000032.jpg,32
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141385112.jpg,The Very Hungry Caterpillar: Little Learning Library,Eric Carle,Board book,4,7.27,$,,9.78014E+12,Childrens-Books,dataset/Childrens-Books/0000033.jpg,33
