image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1323/9780132350884.jpg,Clean Code,Robert C. Martin,Paperback,4.5,26.56,$,44.93,9.78013E+12,Computing,dataset/Computing/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616550417.jpg,The Legend of Zelda,Shigeru Miyamoto,Hardback,4.5,27.56,$,40,9.78162E+12,Computing,dataset/Computing/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3219/9780321965516.jpg,"Don't Make Me Think, Revisited",Steve Krug,Paperback,4,23.03,$,42.9,9.78032E+12,Computing,dataset/Computing/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465026562.jpg,"Godel, Escher, Bach",Douglas R. Hofstadter,Paperback,4.5,16.37,$,18.99,9.78047E+12,Computing,dataset/Computing/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1987/9780198739838.jpg,Superintelligence,Nick Bostrom,Paperback,4,9.93,$,12.4,9.7802E+12,Computing,dataset/Computing/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1189/9781118907443.jpg,"Web Design with HTML, CSS, JavaScript and jQuery Set",Jon Duckett,Paperback,4.5,29.93,$,49.6,9.78112E+12,Computing,dataset/Computing/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9847/9780984782857.jpg,Cracking the Coding Interview,Gayle Laakmann McDowell,Paperback,4.5,33.99,$,40.1,9.78098E+12,Computing,dataset/Computing/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5854/9781585428816.jpg,The Internet is a Playground,David Thorne,Paperback,4,15.09,$,,9.78159E+12,Computing,dataset/Computing/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409168393.jpg,DanTDM: Trayaurus and the Enchanted Crystal,DanTDM,Hardback,4.5,14.93,$,18,9.78141E+12,Computing,dataset/Computing/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141981802.jpg,Life 3.0,Max Tegmark,Paperback,4,10,$,12.4,9.78014E+12,Computing,dataset/Computing/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784700089.jpg,Alan Turing: The Enigma,Andrew Hodges,Paperback,4,13.41,$,13.9,9.78178E+12,Computing,dataset/Computing/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2016/9780201616224.jpg,The Pragmatic Programmer,Andrew Hunt,Paperback,4.5,29.21,$,39.95,9.7802E+12,Computing,dataset/Computing/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141985411.jpg,Weapons of Math Destruction,Cathy O'neil,Paperback,4,9.53,$,12.4,9.78014E+12,Computing,dataset/Computing/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241341131.jpg,Digital Minimalism,Cal Newport,Paperback,4,14.58,$,17,9.78024E+12,Computing,dataset/Computing/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1180/9781118008188.jpg,HTML and CSS,Jon Duckett,Paperback,4.5,22.68,$,25.7,9.78112E+12,Computing,dataset/Computing/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1344/9780134494166.jpg,Clean Architecture,Robert C. Martin,Paperback,4,23.53,$,34.5,9.78013E+12,Computing,dataset/Computing/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2016/9780201633610.jpg,Design Patterns,Erich Gamma,Hardback,4,39.16,$,57.95,9.7802E+12,Computing,dataset/Computing/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1370/9780137081073.jpg,The Clean Coder,Robert C. Martin,Paperback,4.5,23.02,$,42.9,9.78014E+12,Computing,dataset/Computing/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616558451.jpg,World Of Warcraft: Chronicle Volume 1,Blizzard,Hardback,4.5,25.77,$,40.1,9.78162E+12,Computing,dataset/Computing/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4919/9781491962299.jpg,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurelien Geron,Paperback,4.5,30.53,$,54,9.78149E+12,Computing,dataset/Computing/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7356/9780735619678.jpg,Code Complete,Steve McConnell,Paperback,4.5,36.61,$,40,9.78074E+12,Computing,dataset/Computing/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5960/9780596007126.jpg,Head First Design Patterns,Eric Freeman,Paperback,4.5,43.77,$,63,9.7806E+12,Computing,dataset/Computing/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2410/9780241004951.jpg,Never Eat Alone,Keith Ferrazzi,Paperback,4,10.74,$,13.9,9.78024E+12,Computing,dataset/Computing/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3933/9780393339758.jpg,The Shallows,Nicholas Carr,Paperback,4,11.55,$,,9.78039E+12,Computing,dataset/Computing/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5264/9781526419521.jpg,Discovering Statistics Using IBM SPSS Statistics,Andy Field,Paperback,4,85.32,$,,9.78153E+12,Computing,dataset/Computing/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4493/9781449373320.jpg,Designing Data-Intensive Applications,Martin Kleppmann,Paperback,4.5,40.15,$,54,9.78145E+12,Computing,dataset/Computing/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7602/9781760291952.jpg,SPSS Survival Manual,Julie Pallant,Paperback,4,42.6,$,,9.78176E+12,Computing,dataset/Computing/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7356/9780735611313.jpg,Code,Charles Petzold,Paperback,4.5,18.83,$,,9.78074E+12,Computing,dataset/Computing/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5965/9780596517748.jpg,JavaScript: The Good Parts,Douglas Crockford,Paperback,4,19.36,$,27,9.7806E+12,Computing,dataset/Computing/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5932/9781593275990.jpg,Automate The Boring Stuff With Python,Al Sweigart,Paperback,4.5,22.56,$,27,9.78159E+12,Computing,dataset/Computing/0000030.jpg,30
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4919/9781491910399.jpg,R for Data Science,Garrett Grolemund,Paperback,4.5,25.44,$,45,9.78149E+12,Computing,dataset/Computing/0000031.jpg,31
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616558468.jpg,World Of Warcraft Chronicle Volume 2,Blizzard Entertainment,Hardback,4.5,33.66,$,40.1,9.78162E+12,Computing,dataset/Computing/0000032.jpg,32
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2018/9780201835953.jpg,The Mythical Man-Month,Frederick P. Brooks Jr.,Paperback,4,30.67,$,31.95,9.7802E+12,Computing,dataset/Computing/0000033.jpg,33
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007547999.jpg,Algorithms to Live By,Brian Christian,Paperback,4,10.68,$,12.9,9.78001E+12,Computing,dataset/Computing/0000034.jpg,34
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4919/9781491927182.jpg,This is Service Design Doing,Adam Lawrence,Paperback,4.5,24.67,$,40.5,9.78149E+12,Computing,dataset/Computing/0000035.jpg,35
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5918/9781591845331.jpg,All Marketers are Liars,Seth Godin,Paperback,4,12.64,$,21.1,9.78159E+12,Computing,dataset/Computing/0000036.jpg,36
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0626/9780062651235.jpg,"Blood, Sweat, and Pixels",Jason Schreier,Paperback,4.5,10.71,$,17,9.78006E+12,Computing,dataset/Computing/0000037.jpg,37
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141979243.jpg,The Master Algorithm,Pedro Domingos,Paperback,4,8.51,$,12.4,9.78014E+12,Computing,dataset/Computing/0000038.jpg,38
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5960/9780596009205.jpg,Head First Java,Kathy Sierra,Paperback,4,35.56,$,54,9.7806E+12,Computing,dataset/Computing/0000039.jpg,39
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2620/9780262035613.jpg,Deep Learning,Yoshua Bengio,Hardback,4.5,65.63,$,74,9.78026E+12,Computing,dataset/Computing/0000040.jpg,40
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1311/9780131103627.jpg,C Programming Language,Brian W. Kernighan,Paperback,4.5,53.18,$,,9.78013E+12,Computing,dataset/Computing/0000041.jpg,41
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3217/9780321767530.jpg,100 Things Every Designer Needs to Know About People,Susan Weinschenk,Paperback,4,26.3,$,34.5,9.78032E+12,Computing,dataset/Computing/0000042.jpg,42
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1347/9780134757599.jpg,Refactoring,Martin Fowler,Hardback,4,31.07,$,53.49,9.78013E+12,Computing,dataset/Computing/0000043.jpg,43
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1346/9780134685991.jpg,Effective Java,Joshua Bloch,Paperback,4.5,31.87,$,50.6,9.78013E+12,Computing,dataset/Computing/0000044.jpg,44
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4493/9781449357016.jpg,Python Pocket Reference,Mark Lutz,Paperback,4,13.03,$,18,9.78145E+12,Computing,dataset/Computing/0000045.jpg,45
