image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036144.jpg,1984,George Orwell,Paperback,4,7.88,$,8.8,9.78014E+12,Crime-Thriller,dataset/Crime-Thriller/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Crime-Thriller,dataset/Crime-Thriller/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036137.jpg,Animal Farm,George Orwell,Paperback,4,7.98,$,10.3,9.78014E+12,Crime-Thriller,dataset/Crime-Thriller/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405911665.jpg,The Husband's Secret,Liane Moriarty,Paperback,4,9.33,$,9.99,9.78141E+12,Crime-Thriller,dataset/Crime-Thriller/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780221359.jpg,Gone Girl,Gillian Flynn,Paperback,4,9.55,$,10.5,9.78178E+12,Crime-Thriller,dataset/Crime-Thriller/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099560432.jpg,Ready Player One,Ernest Cline,Paperback,4.5,8.82,$,10.5,9.7801E+12,Crime-Thriller,dataset/Crime-Thriller/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349142111.jpg,The Dry,Jane Harper,Paperback,4,8.64,$,8.8,9.78035E+12,Crime-Thriller,dataset/Crime-Thriller/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749942014.jpg,Sister,Rosamund Lupton,Paperback,4,8.04,$,11.4,9.78075E+12,Crime-Thriller,dataset/Crime-Thriller/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4463/9780446310789.jpg,To Kill a Mockingbird,Harper Lee,Paperback,4.5,8.54,$,,9.78045E+12,Crime-Thriller,dataset/Crime-Thriller/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330519021.jpg,Room,Emma Donoghue,Paperback,4,8.05,$,13.39,9.78033E+12,Crime-Thriller,dataset/Crime-Thriller/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349117546.jpg,Shantaram,Gregory David Roberts,Paperback,4.5,11.72,$,13.9,9.78035E+12,Crime-Thriller,dataset/Crime-Thriller/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405916363.jpg,Big Little Lies,Liane Moriarty,Paperback,4.5,9.55,$,9.8,9.78141E+12,Crime-Thriller,dataset/Crime-Thriller/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406372151.jpg,The Hate U Give,Angie Thomas,Paperback,4.5,8,$,10.5,9.78141E+12,Crime-Thriller,dataset/Crime-Thriller/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5527/9780552779777.jpg,The Girl on the Train,Paula Hawkins,Paperback,4,9.65,$,11.4,9.78055E+12,Crime-Thriller,dataset/Crime-Thriller/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,Paperback,4.5,8.4,$,12.4,9.78151E+12,Crime-Thriller,dataset/Crime-Thriller/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5101/9781510106284.jpg,Six of Crows: Collector's Edition,Leigh Bardugo,Hardback,4.5,14.51,$,18,9.78151E+12,Crime-Thriller,dataset/Crime-Thriller/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753827666.jpg,Gone Girl,Gillian Flynn,Paperback,4,9.18,$,11.4,9.78075E+12,Crime-Thriller,dataset/Crime-Thriller/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8041/9780804138321.jpg,Sharp Objects,Gillian Flynn,Paperback,4,8.25,$,9.3,9.7808E+12,Crime-Thriller,dataset/Crime-Thriller/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099470434.jpg,The Curious Incident of the Dog in the Night-time,Mark Haddon,Paperback,4,8.7,$,9.5,9.7801E+12,Crime-Thriller,dataset/Crime-Thriller/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751568356.jpg,Friend Request,Laura Marshall,Paperback,4,5.23,$,11.4,9.78075E+12,Crime-Thriller,dataset/Crime-Thriller/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780622286.jpg,Six of Crows,Leigh Bardugo,Paperback,4.5,8.8,$,10.5,9.78178E+12,Crime-Thriller,dataset/Crime-Thriller/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8484/9781848454125.jpg,Behind Closed Doors,B. A. Paris,Paperback,4,8.39,$,10.3,9.78185E+12,Crime-Thriller,dataset/Crime-Thriller/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099556756.jpg,Bloody Valentine,James Patterson,Paperback,3.5,3.66,$,,9.7801E+12,Crime-Thriller,dataset/Crime-Thriller/0000023.jpg,23
