image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9.78141E+12,Entertainment,dataset/Entertainment/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4,15.14,$,18,9.78141E+12,Entertainment,dataset/Entertainment/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4,9.43,$,12.4,9.78075E+12,Entertainment,dataset/Entertainment/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4,27.12,$,,9.78147E+12,Entertainment,dataset/Entertainment/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4,7.26,$,,9.78186E+12,Entertainment,dataset/Entertainment/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4,10.66,$,13.9,9.78075E+12,Entertainment,dataset/Entertainment/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4,6.71,$,8,9.78088E+12,Entertainment,dataset/Entertainment/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751574951.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.5,7.1,$,10.5,9.78075E+12,Entertainment,dataset/Entertainment/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340936177.jpg,My Booky Wook,Russell Brand,Paperback,3.5,9.34,$,13.9,9.78034E+12,Entertainment,dataset/Entertainment/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099457046.jpg,Moab Is My Washpot,Stephen Fry,Paperback,4,5.99,$,12.9,9.7801E+12,Entertainment,dataset/Entertainment/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452106557.jpg,Darth Vader and Son,Jeffrey Brown,Hardback,4,9.61,$,12.9,9.78145E+12,Entertainment,dataset/Entertainment/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969430.jpg,"Music Theory in Practice, Grade 2",Eric Taylor,Sheet music,4.5,6.99,$,7,9.78186E+12,Entertainment,dataset/Entertainment/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762459452.jpg,Harry Potter: Collectible Quidditch Set,Running Press,Paperback,5,18.32,$,22.99,9.78076E+12,Entertainment,dataset/Entertainment/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969447.jpg,"Music Theory in Practice, Grade 3",Eric Taylor,Sheet music,4,7.57,$,7.8,9.78186E+12,Entertainment,dataset/Entertainment/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969461.jpg,"Music Theory in Practice, Grade 5",Eric Taylor,Sheet music,4.5,8.8,$,,9.78186E+12,Entertainment,dataset/Entertainment/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770785.jpg,Piano Adventures,Nancy Faber,Paperback,4,7.43,$,9,9.78162E+12,Entertainment,dataset/Entertainment/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7423/9781742372389.jpg,The Happiest Refugee,Anh Do,Paperback,4,20.87,$,,9.78174E+12,Entertainment,dataset/Entertainment/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753826614.jpg,Life,Keith Richards,Paperback,4,11.18,$,13.9,9.78075E+12,Entertainment,dataset/Entertainment/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786331502.jpg,Daisy Jones and The Six,TAYLOR JENKINS REID,Hardback,4,14.67,$,16,9.78179E+12,Entertainment,dataset/Entertainment/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349113913.jpg,Me Talk Pretty One Day,David Sedaris,Paperback,4,7.38,$,11.4,9.78035E+12,Entertainment,dataset/Entertainment/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444734164.jpg,Is it Just Me?,Miranda Hart,Paperback,4,8.35,$,12.9,9.78144E+12,Entertainment,dataset/Entertainment/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8476/9781847679277.jpg,An Idiot Abroad,Karl Pilkington,Paperback,4,8.47,$,12.4,9.78185E+12,Entertainment,dataset/Entertainment/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969454.jpg,"Music Theory in Practice, Grade 4",Eric Taylor,Sheet music,4,8.23,$,8.3,9.78186E+12,Entertainment,dataset/Entertainment/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9329/9781932907001.jpg,Save the Cat!,Blake Snyder,Paperback,4,12.65,$,17,9.78193E+12,Entertainment,dataset/Entertainment/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250058904.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,23.45,$,30.4,9.78125E+12,Entertainment,dataset/Entertainment/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786331519.jpg,Daisy Jones and The Six,TAYLOR JENKINS REID,Paperback,4,14.54,$,16,9.78179E+12,Entertainment,dataset/Entertainment/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9050/9781905026357.jpg,Tricks Of The Mind,Derren Brown,Paperback,4,10.52,$,12.9,9.78191E+12,Entertainment,dataset/Entertainment/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180135.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4.5,6.8,$,9,9.78088E+12,Entertainment,dataset/Entertainment/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7390/9780739051641.jpg,Suzuki Piano School Volume 1 with CD,Dr. Shinichi Suzuki,Mixed media product,4.5,13.11,$,25.7,9.78074E+12,Entertainment,dataset/Entertainment/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8828/9780882848129.jpg,"Alfred's Basic Piano Library Lesson Book, Bk 2",Willard A Palmer,Paperback,0,6.9,$,8.8,9.78088E+12,Entertainment,dataset/Entertainment/0000030.jpg,30
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770815.jpg,Piano Adventures - Lesson Book - Level 2A,Nancy Faber,Paperback,4,7.43,$,9,9.78162E+12,Entertainment,dataset/Entertainment/0000031.jpg,31
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141981468.jpg,Modern Romance,Aziz Ansari,Paperback,4,9.47,$,11.4,9.78014E+12,Entertainment,dataset/Entertainment/0000032.jpg,32
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5713/9780571308040.jpg,Beastie Boys Book,Michael Diamond,Hardback,4.5,33.08,$,,9.78057E+12,Entertainment,dataset/Entertainment/0000033.jpg,33
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6088/9781608870080.jpg,Harry Potter: A Pop-Up Book,Bruce Foster,Hardback,4.5,17.43,$,24.99,9.78161E+12,Entertainment,dataset/Entertainment/0000034.jpg,34
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241347935.jpg,Useless Magic,Florence Welch,Hardback,4,21.07,$,24,9.78024E+12,Entertainment,dataset/Entertainment/0000035.jpg,35
