image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409303183.jpg,Peppa Pig: Little Library,Peppa Pig,Board book,4,7.22,$,,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406338539.jpg,I Want My Hat Back,Jon Klassen,Paperback,4.5,7.03,$,9.5,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142403877.jpg,The Gruffalo,Julia Donaldson,Paperback,4.5,6.91,$,7.95,9.78014E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4424/9781442408937.jpg,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,Paperback,4.5,7.72,$,15,9.78144E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4095/9781409550259.jpg,Look Inside Things That Go,Rob Lloyd Jones,Hardback,4.5,9.92,$,12.9,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/3140/9783314015441.jpg,Rainbow Fish,Marcus Pfister,Paperback,4,7.12,$,8.8,9.78331E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419713101.jpg,In My Heart:A Book of Feelings,Jo Witek,Hardback,4.5,10.61,$,16,9.78142E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9.78014E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142402511.jpg,Looking for Alaska,John Green,Paperback,4,11.2,$,,9.78014E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007371082.jpg,Billionaire Boy,David Walliams,Paperback,4,7.64,$,9.5,9.78001E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007279067.jpg,Mr Stink,David Walliams,Paperback,4,7.52,$,8.8,9.78001E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408855676.jpg,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Paperback,4.5,9.46,$,10.3,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4449/9781444951387.jpg,Heartstopper Volume One,ALICE OSEMAN,Paperback,4.5,10.09,$,13.9,9.78144E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6070/9781607066019.jpg,Saga Volume 1,Brian K. Vaughan,Paperback,4,9.52,$,11.4,9.78161E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4484/9780448456942.jpg,The Story of Ferdinand,Munro Leaf,Paperback,4.5,5.04,$,,9.78045E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4071/9781407132082.jpg,The Hunger Games,Suzanne Collins,Paperback,4.5,7.28,$,10.3,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408883808.jpg,Harry Potter and the Philosopher's Stone - Hufflepuff Edition,J. K. Rowling,Hardback,4.5,14.5,$,18,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408855683.jpg,Harry Potter and the Goblet of Fire,J. K. Rowling,Paperback,4.5,10.75,$,11,9.78141E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4449/9781444951400.jpg,Heartstopper Volume Two,ALICE OSEMAN,Paperback,4.5,10.35,$,13.9,9.78144E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4215/9781421561325.jpg,"Uzumaki (3-in-1, Deluxe Edition)",Junji Ito,Hardback,4.5,18.64,$,21.5,9.78142E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4012/9781401216672.jpg,"Batman The Killing Joke, Deluxe Edition",Alan Moore,Hardback,4.5,14.18,$,18,9.7814E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565362.jpg,Harry Potter and the Cursed Child - Parts One and Two,J. K. Rowling,Paperback,3.5,7.95,$,11.5,9.78075E+12,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000022.jpg,22
