image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099590088.jpg,Sapiens,Yuval Noah Harari,Paperback,4.5,12.98,$,,9.7801E+12,History-Archaeology,dataset/History-Archaeology/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141986005.jpg,Good Night Stories for Rebel Girls,Elena Favilli,Hardback,4.5,20.86,$,24,9.78014E+12,History-Archaeology,dataset/History-Archaeology/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241334140.jpg,Becoming,Michelle Obama,Hardback,4.5,24.21,$,26,9.78024E+12,History-Archaeology,dataset/History-Archaeology/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4,8.9,$,12.4,9.78024E+12,History-Archaeology,dataset/History-Archaeology/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,History-Archaeology,dataset/History-Archaeology/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784703936.jpg,Homo Deus,Yuval Noah Harari,Paperback,4.5,12.9,$,,9.78178E+12,History-Archaeology,dataset/History-Archaeology/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7873/9781787330870.jpg,21 Lessons for the 21st Century,Yuval Noah Harari,Paperback,4,19.07,$,19.1,9.78179E+12,History-Archaeology,dataset/History-Archaeology/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9978/9780997895827.jpg,Goodnight Stories for Rebel Girls 2,Elena Favilli,Hardback,4.5,21.15,$,30.9,9.781E+12,History-Archaeology,dataset/History-Archaeology/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846045127.jpg,The Choice,Edith Eger,Paperback,4.5,9.37,$,11.5,9.78185E+12,History-Archaeology,dataset/History-Archaeology/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8441/9781844132393.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,7.85,$,9.5,9.78184E+12,History-Archaeology,dataset/History-Archaeology/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9.78014E+12,History-Archaeology,dataset/History-Archaeology/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751529814.jpg,Tuesdays With Morrie,Mitch Albom,Paperback,4,5.15,$,11.4,9.78075E+12,History-Archaeology,dataset/History-Archaeology/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5532/9780553296983.jpg,The Diary of a Young Girl,Anne Frank,Paperback,4,6.52,$,,9.78055E+12,History-Archaeology,dataset/History-Archaeology/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486272740.jpg,The Prince,Niccolo Machiavelli,Paperback,4,3.11,$,,9.78049E+12,History-Archaeology,dataset/History-Archaeology/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250038821.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,21.46,$,30.4,9.78125E+12,History-Archaeology,dataset/History-Archaeology/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0993/9780099302780.jpg,"Guns, Germs And Steel",Jared Diamond,Paperback,4,13.17,$,13.9,9.7801E+12,History-Archaeology,dataset/History-Archaeology/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007204496.jpg,Fear and Loathing in Las Vegas,Hunter S. Thompson,Paperback,4,8.3,$,11.49,9.78001E+12,History-Archaeology,dataset/History-Archaeology/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9113/9781911344780.jpg,Dark Emu,Bruce Pascoe,Paperback,4.5,12.46,$,16,9.78191E+12,History-Archaeology,dataset/History-Archaeology/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5998/9781599869773.jpg,The Art of War,Sun Tzu,Paperback,4,5.04,$,,9.7816E+12,History-Archaeology,dataset/History-Archaeology/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140449334.jpg,Meditations,Marcus Aurelius,Paperback,4,8.13,$,10.3,9.78014E+12,History-Archaeology,dataset/History-Archaeology/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7874/9781787473102.jpg,Before We Were Yours,Lisa Wingate,Paperback,4.5,8.27,$,11.4,9.78179E+12,History-Archaeology,dataset/History-Archaeology/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785763687.jpg,The Tattooist of Auschwitz,Heather Morris,Paperback,4.5,8.11,$,8.8,9.78179E+12,History-Archaeology,dataset/History-Archaeology/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408839997.jpg,The Silk Roads,Peter Frankopan,Paperback,4.5,11.99,$,13.9,9.78141E+12,History-Archaeology,dataset/History-Archaeology/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2501/9781250183866.jpg,Extreme Ownership,Jocko Willink,Hardback,4.5,16.1,$,27.5,9.78125E+12,History-Archaeology,dataset/History-Archaeology/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5521/9780552170321.jpg,Red Notice,Bill Browder,Paperback,4.5,10.76,$,12.4,9.78055E+12,History-Archaeology,dataset/History-Archaeology/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140442106.jpg,Letters from a Stoic,Seneca,Paperback,4.5,8.7,$,11.4,9.78014E+12,History-Archaeology,dataset/History-Archaeology/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847924889.jpg,On Tyranny,Timothy Snyder,Paperback,4,7.01,$,8.8,9.78185E+12,History-Archaeology,dataset/History-Archaeology/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7848/9781784871512.jpg,The Gulag Archipelago,Aleksandr Solzhenitsyn,Paperback,4,16.03,$,21.1,9.78178E+12,History-Archaeology,dataset/History-Archaeology/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846683817.jpg,SPQR,Mary Beard,Paperback,4,11.9,$,13.9,9.78185E+12,History-Archaeology,dataset/History-Archaeology/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845290764.jpg,A Brief History of the Vikings,Jonathan Clements,Paperback,3.5,4.74,$,11.4,9.78185E+12,History-Archaeology,dataset/History-Archaeology/0000030.jpg,30
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408870587.jpg,Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,Paperback,4.5,8.42,$,11.5,9.78141E+12,History-Archaeology,dataset/History-Archaeology/0000031.jpg,31
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753823835.jpg,Call The Midwife,Jennifer Worth,Paperback,4,7.9,$,11.4,9.78075E+12,History-Archaeology,dataset/History-Archaeology/0000032.jpg,32
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711392.jpg,Fire and Fury,Michael Wolff,Paperback,3.5,17.89,$,20.1,9.78141E+12,History-Archaeology,dataset/History-Archaeology/0000033.jpg,33
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141187426.jpg,Orientalism,Edward W. Said,Paperback,4,10.96,$,13.9,9.78014E+12,History-Archaeology,dataset/History-Archaeology/0000034.jpg,34
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439149959.jpg,Lessons of History,Will Durant,Paperback,4,8.15,$,12.4,9.78144E+12,History-Archaeology,dataset/History-Archaeology/0000035.jpg,35
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3745/9780374500016.jpg,Night,Elie Wiesel,Paperback,4.5,8.69,$,10.3,9.78037E+12,History-Archaeology,dataset/History-Archaeology/0000036.jpg,36
