image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4,13.55,$,21.6,9.78161E+12,Home-Garden,dataset/Home-Garden/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9.78024E+12,Home-Garden,dataset/Home-Garden/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141039411.jpg,A New Earth,Eckhart Tolle,Paperback,4,9.72,$,11.4,9.78014E+12,Home-Garden,dataset/Home-Garden/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401948320.jpg,Medical Medium Life-Changing Foods,Anthony William,Hardback,4.5,20.3,$,27.5,9.7814E+12,Home-Garden,dataset/Home-Garden/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241399750.jpg,Hinch Yourself Happy,Mrs Hinch,Hardback,4,13.67,$,16,9.78024E+12,Home-Garden,dataset/Home-Garden/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9359/9781935952503.jpg,The Complete Guide to Yin Yoga,Bernie Clark,Paperback,4.5,14.75,$,14.99,9.78194E+12,Home-Garden,dataset/Home-Garden/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8052/9780805210316.jpg,Light on Yoga,B. K. S. Iyengar,Paperback,4.5,18.4,$,26.5,9.78081E+12,Home-Garden,dataset/Home-Garden/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762459452.jpg,Harry Potter: Collectible Quidditch Set,Running Press,Paperback,5,18.32,$,22.99,9.78076E+12,Home-Garden,dataset/Home-Garden/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8928/9780892817641.jpg,The Heart of Yoga,T. K. V. Desikachar,Paperback,4.5,15.87,$,20.1,9.78089E+12,Home-Garden,dataset/Home-Garden/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761156789.jpg,Curly Girl,Lorraine Massey,Paperback,4,11.36,$,13.95,9.78076E+12,Home-Garden,dataset/Home-Garden/0000010.jpg,10
