image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4494/9781449474256.jpg,Milk and Honey,Rupi Kaur,Paperback,4,8.18,$,15,9.78145E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340733509.jpg,The Power of Now,Eckhart Tolle,Paperback,4,8.2,$,13.9,9.78034E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4,8.34,$,13.9,9.78185E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5928/9781592858491.jpg,"Gifts Of Imperfection, The:",Brene Brown,Paperback,4,11.8,$,14.9,9.78159E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141978611.jpg,The Body Keeps the Score,Bessel van der Kolk,Paperback,4.5,10.99,$,13.9,9.78014E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8784/9781878424310.jpg,The Four Agreements,Don Miguel Ruiz,Paperback,4,9.45,$,13.9,9.78188E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8567/9781856753531.jpg,The Little Book of Mindfulness,Dr. Patrizia Collard,Paperback,4,5.88,$,8.8,9.78186E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5722/9781572245372.jpg,The Untethered Soul,Michael A. Singer,Paperback,4,10.46,$,,9.78157E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8473/9781847370297.jpg,The Secret,Rhonda Byrne,Hardback,3.5,15.02,$,18,9.78185E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141039411.jpg,A New Earth,Eckhart Tolle,Paperback,4,9.72,$,11.4,9.78014E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3454/9780345409874.jpg,Women Who Run with Wolves,Clarissa Pinkola Estes,Paperback,4,8.97,$,9.3,9.78035E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041068.jpg,The Miracle Of Mindfulness,Thich Nhat Hanh,Paperback,4,8.66,$,11.4,9.78185E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4,6.8,$,10.5,9.78075E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4522/9780452272040.jpg,Reinventing Your Life,Jeffrey E. Young,Paperback,4,13.78,$,25.95,9.78045E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5445/9781544512273.jpg,Can't Hurt Me,David Goggins,Paperback,4.5,19.37,$,,9.78154E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401954406.jpg,Medical Medium Liver Rescue,Anthony William,Hardback,4,23.76,$,32.5,9.7814E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7812/9781781257654.jpg,The Daily Stoic,Ryan Holiday,Paperback,4.5,10.61,$,13.9,9.78178E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749953089.jpg,Mindfulness,J. Mark G. Williams,Paperback,4,12.72,$,18,9.78075E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7818/9781781805367.jpg,Medical Medium,Anthony William,Paperback,4,13.44,$,16,9.78178E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401948320.jpg,Medical Medium Life-Changing Foods,Anthony William,Hardback,4.5,20.3,$,27.5,9.7814E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9376/9780937611012.jpg,You Can Heal Your Life,Louise Hay,Paperback,4,11.62,$,16,9.78094E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409168508.jpg,The Definitive Book of Body Language,Allan Pease,Paperback,4,5.63,$,11.4,9.78141E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7818/9781781809952.jpg,Work Your Light Oracle Cards,Rebecca Campbell,Cards,4.5,13.98,$,18,9.78178E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401948368.jpg,Medical Medium Thyroid Healing,Anthony William,Hardback,4,17.26,$,26.5,9.7814E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7126/9780712670579.jpg,The Original Rider Waite Tarot Deck,Arthur Edward Waite,Paperback,0,13.1,$,21.5,9.78071E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753820162.jpg,Meditations,Marcus Aurelius,Paperback,4,4.57,$,11.4,9.78075E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408881682.jpg,Big Magic,Elizabeth Gilbert,Paperback,4,6.37,$,7.8,9.78141E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786330895.jpg,Ikigai,Hector Garcia,Hardback,3.5,12.94,$,16,9.78179E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6118/9781611800586.jpg,Sitting Still Like A Frog,Eline Snel,Paperback,4,10.4,$,15,9.78161E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000030.jpg,30
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5827/9781582702605.jpg,The Secret Language of Your Body,Inna Segal,Paperback,4.5,12.29,$,15,9.78158E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000031.jpg,31
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340750155.jpg,The Art of Happiness,Dalai Lama XIV,Paperback,4,11.15,$,12.49,9.78034E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000032.jpg,32
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9376/9780937611357.jpg,Heal Your Body,Louise Hay,Paperback,4.5,9.1,$,13.9,9.78094E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000033.jpg,33
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786330444.jpg,The Book of Joy,Dalai Lama,Hardback,4.5,16.66,$,18,9.78179E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000034.jpg,34
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401938093.jpg,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create aNew One,Joe Dispenza,Paperback,4,14.46,$,16,9.7814E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000035.jpg,35
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5773/9781577314806.jpg,The Power of Now,Eckhart Tolle,Paperback,4,14.26,$,,9.78158E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000036.jpg,36
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401957650.jpg,Medical Medium Celery Juice,Anthony William,Hardback,4,14.01,$,18,9.7814E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000037.jpg,37
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451695199.jpg,Proof of Heaven,Dr. Eben Alexander,Paperback,3.5,13.01,$,17,9.78145E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000038.jpg,38
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8498/9781849838399.jpg,The Magic,Rhonda Byrne,Paperback,4,11.23,$,11.4,9.78185E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000039.jpg,39
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3408/9780340822531.jpg,Practising The Power Of Now,Eckhart Tolle,Paperback,4.5,8.19,$,13.9,9.78034E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000040.jpg,40
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405937184.jpg,The Salt Path,Raynor Winn,Paperback,4,9.53,$,12.9,9.78141E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000041.jpg,41
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7818/9781781804254.jpg,The Universe Has Your Back,Gabrielle Bernstein,Paperback,4,9.99,$,13.9,9.78178E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000042.jpg,42
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7434/9780743409384.jpg,Awaken The Giant Within,Tony Robbins,Paperback,4,11,$,13.9,9.78074E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000043.jpg,43
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7818/9781781809334.jpg,The Universe Has Your Back,Gabrielle Bernstein,Cards,4.5,10.54,$,20.49,9.78178E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000044.jpg,44
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4522/9780452289963.jpg,A New Earth,Eckhart Tolle,Paperback,4,14.2,$,17,9.78045E+12,Mind-Body-Spirit,dataset/Mind-Body-Spirit/0000045.jpg,45
