image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444737110.jpg,A Street Cat Named Bob,James Bowen,Paperback,4,7.52,$,11.5,9.78144E+12,Natural-History,dataset/Natural-History/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405937184.jpg,The Salt Path,Raynor Winn,Paperback,4,9.53,$,12.9,9.78141E+12,Natural-History,dataset/Natural-History/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486284958.jpg,"Walden: Or, Life in the Woods",Henry David Thoreau,Paperback,4,5.14,$,,9.78049E+12,Natural-History,dataset/Natural-History/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0082/9780008218430.jpg,The Hidden Life of Trees,Peter Wohlleben,Paperback,4,9.62,$,12.9,9.78001E+12,Natural-History,dataset/Natural-History/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447200185.jpg,Into Thin Air,Jon Krakauer,Paperback,4,8.49,$,12.4,9.78145E+12,Natural-History,dataset/Natural-History/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784708245.jpg,The Overstory,Richard Powers,Paperback,4,11.33,$,11.5,9.78178E+12,Natural-History,dataset/Natural-History/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141979366.jpg,The Shepherd's Life,James Rebanks,Paperback,4,9.73,$,12.9,9.78014E+12,Natural-History,dataset/Natural-History/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753557150.jpg,Lost Ocean,Johanna Basford,Paperback,4.5,12.39,$,,9.78075E+12,Natural-History,dataset/Natural-History/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7716/9781771642484.jpg,The Hidden Life of Trees,Peter Wohlleben,Hardback,4,16.53,$,18.99,9.78177E+12,Natural-History,dataset/Natural-History/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099575450.jpg,H is for Hawk,Helen Macdonald,Paperback,3.5,10.14,$,11.4,9.7801E+12,Natural-History,dataset/Natural-History/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4867/9780486789644.jpg,Creative Haven Creative Cats Coloring Book,Marjorie Sarnat,Paperback,4.5,5.22,$,,9.78049E+12,Natural-History,dataset/Natural-History/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8431/9781843104810.jpg,All Cats Have Asperger Syndrome,Kathy Hoopmann,Hardback,4,13.66,$,,9.78184E+12,Natural-History,dataset/Natural-History/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141028415.jpg,The Corfu Trilogy,Gerald Durrell,Paperback,4.5,15.8,$,18,9.78014E+12,Natural-History,dataset/Natural-History/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5527/9780552778053.jpg,The Magic of Reality,Richard Dawkins,Paperback,4,5.98,$,11.4,9.78055E+12,Natural-History,dataset/Natural-History/0000014.jpg,14
