image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7303/9780730324218.jpg,The Barefoot Investor,Scott Pape,Paperback,4.5,14.06,$,17.6,9.78073E+12,Personal-Development,dataset/Personal-Development/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340733509.jpg,The Power of Now,Eckhart Tolle,Paperback,4,8.2,$,13.9,9.78034E+12,Personal-Development,dataset/Personal-Development/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0624/9780062457714.jpg,The Subtle Art of Not Giving a F*ck,Mark Manson,Hardback,4,15.8,$,25.2,9.78006E+12,Personal-Development,dataset/Personal-Development/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4,8.3,$,9.5,9.78144E+12,Personal-Development,dataset/Personal-Development/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4,11.5,$,15,9.78014E+12,Personal-Development,dataset/Personal-Development/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4,8.9,$,12.4,9.78024E+12,Personal-Development,dataset/Personal-Development/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4,8.34,$,13.9,9.78185E+12,Personal-Development,dataset/Personal-Development/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0626/9780062641540.jpg,The Subtle Art of Not Giving a F*ck,Mark Manson,Paperback,4,14.15,$,18,9.78006E+12,Personal-Development,dataset/Personal-Development/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9.78141E+12,Personal-Development,dataset/Personal-Development/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5928/9781592858491.jpg,"Gifts Of Imperfection, The:",Brene Brown,Paperback,4,11.8,$,14.9,9.78159E+12,Personal-Development,dataset/Personal-Development/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Personal-Development,dataset/Personal-Development/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4,13.55,$,21.6,9.78161E+12,Personal-Development,dataset/Personal-Development/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141978611.jpg,The Body Keeps the Score,Bessel van der Kolk,Paperback,4.5,10.99,$,13.9,9.78014E+12,Personal-Development,dataset/Personal-Development/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241257401.jpg,Daring Greatly,Brene Brown,Paperback,4.5,9.6,$,12.4,9.78024E+12,Personal-Development,dataset/Personal-Development/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0605/9780060555665.jpg,The Intelligent Investor,Benjamin Graham,Paperback,4,15.99,$,25.2,9.78006E+12,Personal-Development,dataset/Personal-Development/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8784/9781878424310.jpg,The Four Agreements,Don Miguel Ruiz,Paperback,4,9.45,$,13.9,9.78188E+12,Personal-Development,dataset/Personal-Development/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4,5.92,$,14.8,9.78033E+12,Personal-Development,dataset/Personal-Development/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785042140.jpg,Dare to Lead,Brene Brown,Paperback,4,13.09,$,16,9.78179E+12,Personal-Development,dataset/Personal-Development/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8567/9781856753531.jpg,The Little Book of Mindfulness,Dr. Patrizia Collard,Paperback,4,5.88,$,8.8,9.78186E+12,Personal-Development,dataset/Personal-Development/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141029191.jpg,Quiet,Susan Cain,Paperback,4,9.79,$,12.4,9.78014E+12,Personal-Development,dataset/Personal-Development/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472139955.jpg,Mindset - Updated Edition,Carol Dweck,Paperback,4,8.6,$,13.9,9.78147E+12,Personal-Development,dataset/Personal-Development/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091929114.jpg,The 4-Hour Work Week,Timothy Ferriss,Paperback,4,14.32,$,16,9.78009E+12,Personal-Development,dataset/Personal-Development/0000022.jpg,22
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9.78024E+12,Personal-Development,dataset/Personal-Development/0000023.jpg,23
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8473/9781847370297.jpg,The Secret,Rhonda Byrne,Hardback,3.5,15.02,$,18,9.78185E+12,Personal-Development,dataset/Personal-Development/0000024.jpg,24
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612680194.jpg,Rich Dad Poor Dad,Robert T. Kiyosaki,Paperback,4,7.34,$,,9.78161E+12,Personal-Development,dataset/Personal-Development/0000025.jpg,25
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847941831.jpg,Atomic Habits,James Clear,Paperback,4.5,15.49,$,18,9.78185E+12,Personal-Development,dataset/Personal-Development/0000026.jpg,26
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0612/9780061241895.jpg,influence,Robert B. Cialdini,Paperback,4,11.38,$,19.1,9.78006E+12,Personal-Development,dataset/Personal-Development/0000027.jpg,27
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141039411.jpg,A New Earth,Eckhart Tolle,Paperback,4,9.72,$,11.4,9.78014E+12,Personal-Development,dataset/Personal-Development/0000028.jpg,28
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351642.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4,18.31,$,,9.78024E+12,Personal-Development,dataset/Personal-Development/0000029.jpg,29
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4165/9781416502494.jpg,7 Habits Of Highly Effective People,Stephen R. Covey,Paperback,4,9.04,$,11.4,9.78142E+12,Personal-Development,dataset/Personal-Development/0000030.jpg,30
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091955106.jpg,The Life-Changing Magic of Tidying,Marie Kondo,Paperback,4,12.41,$,16,9.78009E+12,Personal-Development,dataset/Personal-Development/0000031.jpg,31
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965601.jpg,Dungeons & Dragons Player's Handbook (Dungeons & Dragons Core Rulebooks),Wizards of the Coast,Hardback,4.5,31.94,$,48.4,9.78079E+12,Personal-Development,dataset/Personal-Development/0000032.jpg,32
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447277668.jpg,What I Know for Sure,Oprah Winfrey,Hardback,4,11.1,$,20.1,9.78145E+12,Personal-Development,dataset/Personal-Development/0000033.jpg,33
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846045127.jpg,The Choice,Edith Eger,Paperback,4.5,9.37,$,11.5,9.78185E+12,Personal-Development,dataset/Personal-Development/0000034.jpg,34
