image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4494/9781449474256.jpg,Milk and Honey,Rupi Kaur,Paperback,4,8.18,$,15,9.78145E+12,Poetry-Drama,dataset/Poetry-Drama/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565355.jpg,Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,Hardback,3.5,15.43,$,26.3,9.78075E+12,Poetry-Drama,dataset/Poetry-Drama/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5525/9780552565974.jpg,Wonder,R. J. Palacio,Paperback,4.5,8.32,$,8.8,9.78055E+12,Poetry-Drama,dataset/Poetry-Drama/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007513765.jpg,The Day the Crayons Quit,Drew Daywalt,Paperback,4.5,9.5,$,12.9,9.78001E+12,Poetry-Drama,dataset/Poetry-Drama/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5713/9780571334650.jpg,Normal People,Sally Rooney,Paperback,4,8.93,$,10.5,9.78057E+12,Poetry-Drama,dataset/Poetry-Drama/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9.78141E+12,Poetry-Drama,dataset/Poetry-Drama/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Poetry-Drama,dataset/Poetry-Drama/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408845646.jpg,Harry Potter and the Philosopher's Stone,J. K. Rowling,Hardback,4.5,30.91,$,38.6,9.78141E+12,Poetry-Drama,dataset/Poetry-Drama/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471165825.jpg,The Sun and Her Flowers,Rupi Kaur,Paperback,4,10.76,$,17,9.78147E+12,Poetry-Drama,dataset/Poetry-Drama/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4,5.92,$,14.8,9.78033E+12,Poetry-Drama,dataset/Poetry-Drama/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099408390.jpg,Where The Wild Things Are,Maurice Sendak,Paperback,4,8.29,$,8.8,9.7801E+12,Poetry-Drama,dataset/Poetry-Drama/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9.78141E+12,Poetry-Drama,dataset/Poetry-Drama/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408855652.jpg,Harry Potter and the Philosopher's Stone,J. K. Rowling,Paperback,4.5,8.13,$,10.3,9.78141E+12,Poetry-Drama,dataset/Poetry-Drama/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405934138.jpg,Mythos,Stephen Fry,Paperback,4,9.93,$,11.5,9.78141E+12,Poetry-Drama,dataset/Poetry-Drama/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7873/9781787330870.jpg,21 Lessons for the 21st Century,Yuval Noah Harari,Paperback,4,19.07,$,19.1,9.78179E+12,Poetry-Drama,dataset/Poetry-Drama/0000015.jpg,15
