image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409168508.jpg,The Definitive Book of Body Language,Allan Pease,Paperback,4.0,5.63,$,11.4,9781409168508,Reference,dataset/Reference/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3166/9780316679077.jpg,The Tipping Point,Malcolm Gladwell,Paperback,4.0,7.55,$,8.8,9780316679077,Reference,dataset/Reference/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141340111.jpg,The Jolly Christmas Postman,Allan Ahlberg,Hardback,4.5,13.81,$,16.0,9780141340111,Reference,dataset/Reference/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747599777.jpg,The Flavour Thesaurus,Niki Segnit,Hardback,4.0,18.68,$,25.2,9780747599777,Reference,dataset/Reference/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141040011.jpg,Nudge,Richard H. Thaler,Paperback,4.0,9.73,$,12.4,9780141040011,Reference,dataset/Reference/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408890769.jpg,Harry Potter - A History of Magic,British Library,Hardback,4.0,30.92,$,37.6,9781408890769,Reference,dataset/Reference/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8920/9781892005281.jpg,Nonviolent Communication 3rd Ed,Marshall B. Rosenberg,Paperback,4.5,15.03,$,19.1,9781892005281,Reference,dataset/Reference/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141393063.jpg,Politics and the English Language,George Orwell,Paperback,4.5,2.81,$,,9780141393063,Reference,dataset/Reference/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141034591.jpg,The Black Swan,Nassim Nicholas Taleb,Paperback,4.0,10.72,$,11.4,9780141034591,Reference,dataset/Reference/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141187426.jpg,Orientalism,Edward W. Said,Paperback,4.0,10.96,$,13.9,9780141187426,Reference,dataset/Reference/0000010.jpg
