image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4,13.55,$,21.6,9.78161E+12,Religion,dataset/Religion/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8024/9780802412706.jpg,Five Love Languages Revised Edition,Gary Chapman,Paperback,4,11.61,$,15,9.7808E+12,Religion,dataset/Religion/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041068.jpg,The Miracle Of Mindfulness,Thich Nhat Hanh,Paperback,4,8.66,$,11.4,9.78185E+12,Religion,dataset/Religion/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753820162.jpg,Meditations,Marcus Aurelius,Paperback,4,4.57,$,11.4,9.78075E+12,Religion,dataset/Religion/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0074/9780007461219.jpg,Mere Christianity,C. S. Lewis,Paperback,4.5,8.71,$,11.4,9.78001E+12,Religion,dataset/Religion/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340750155.jpg,The Art of Happiness,Dalai Lama XIV,Paperback,4,11.15,$,12.49,9.78034E+12,Religion,dataset/Religion/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5773/9781577315933.jpg,The Hero with a Thousand Faces,Joseph Campbell,Hardback,4,18.3,$,,9.78158E+12,Religion,dataset/Religion/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786330444.jpg,The Book of Joy,Dalai Lama,Hardback,4.5,16.66,$,18,9.78179E+12,Religion,dataset/Religion/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451695199.jpg,Proof of Heaven,Dr. Eben Alexander,Paperback,3.5,13.01,$,17,9.78145E+12,Religion,dataset/Religion/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340979495.jpg,The Shack,William P. Young,Paperback,4,7.69,$,12.9,9.78034E+12,Religion,dataset/Religion/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199535958.jpg,The Qur'an,M. a. S. Abdel Haleem,Paperback,4.5,8.22,$,10.3,9.7802E+12,Religion,dataset/Religion/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3408/9780340822531.jpg,Practising The Power Of Now,Eckhart Tolle,Paperback,4.5,8.19,$,13.9,9.78034E+12,Religion,dataset/Religion/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8499/9780849946158.jpg,Heaven is for Real,Todd Burpo,Paperback,4,9.55,$,13.9,9.78085E+12,Religion,dataset/Religion/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340979334.jpg,The Reason for God,Timothy Keller,Paperback,4,8.23,$,12.4,9.78034E+12,Religion,dataset/Religion/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3406/9780340693254.jpg,Conversations With God,Neale Donald Walsch,Paperback,4,7.63,$,12.4,9.78034E+12,Religion,dataset/Religion/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2810/9780281078622.jpg,The Universal Christ,Richard Rohr,Paperback,4.5,10.58,$,12.9,9.78028E+12,Religion,dataset/Religion/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5671/9781567184853.jpg,Journey of Souls,Michael Newton,Paperback,4.5,16.61,$,19.1,9.78157E+12,Religion,dataset/Religion/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0071/9780007183517.jpg,When Things Fall Apart,Pema Chodron,Paperback,4.5,8.74,$,12.9,9.78001E+12,Religion,dataset/Religion/0000018.jpg,18
