image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5713/9780571334650.jpg,Normal People,Sally Rooney,Paperback,4,8.93,$,10.5,9.78057E+12,Romance,dataset/Romance/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7864/9781786495259.jpg,Call Me By Your Name,Andre Aciman,Paperback,4.5,5.08,$,10.3,9.78179E+12,Romance,dataset/Romance/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718157838.jpg,Me Before You,Jojo Moyes,Paperback,4.5,10.47,$,,9.78072E+12,Romance,dataset/Romance/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099579939.jpg,Fifty Shades of Grey,E. L. James,Paperback,3.5,10.11,$,10.27,9.7801E+12,Romance,dataset/Romance/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405911665.jpg,The Husband's Secret,Liane Moriarty,Paperback,4,9.33,$,9.99,9.78141E+12,Romance,dataset/Romance/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780221359.jpg,Gone Girl,Gillian Flynn,Paperback,4,9.55,$,10.5,9.78178E+12,Romance,dataset/Romance/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3408/9780340896983.jpg,One Day,David Nicholls,Paperback,4,8.07,$,11.4,9.78034E+12,Romance,dataset/Romance/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405916363.jpg,Big Little Lies,Liane Moriarty,Paperback,4.5,9.55,$,9.8,9.78141E+12,Romance,dataset/Romance/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5713/9780571347292.jpg,Normal People,Sally Rooney,Paperback,4,19.27,$,,9.78057E+12,Romance,dataset/Romance/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099579946.jpg,Fifty Shades Freed,E. L. James,Paperback,4,10.21,$,10.5,9.7801E+12,Romance,dataset/Romance/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5011/9781501161933.jpg,The Seven Husbands of Evelyn Hugo,TAYLOR JENKINS REID,Paperback,4.5,8.49,$,17,9.7815E+12,Romance,dataset/Romance/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753827666.jpg,Gone Girl,Gillian Flynn,Paperback,4,9.18,$,11.4,9.78075E+12,Romance,dataset/Romance/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099579922.jpg,Fifty Shades Darker,E. L. James,Paperback,4,10.21,$,10.5,9.7801E+12,Romance,dataset/Romance/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5101/9781510107038.jpg,Crooked Kingdom: Collector's Edition,Leigh Bardugo,Hardback,4.5,14.68,$,18,9.78151E+12,Romance,dataset/Romance/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007523160.jpg,Looking For Alaska,John Green,Paperback,4,7.74,$,10.3,9.78001E+12,Romance,dataset/Romance/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405909075.jpg,After You,Jojo Moyes,Paperback,3.5,9.28,$,10.3,9.78141E+12,Romance,dataset/Romance/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4494/9781449456146.jpg,Love & Misadventure,Lang Leav,Paperback,4,8.11,$,17,9.78145E+12,Romance,dataset/Romance/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846689949.jpg,The Dressmaker,Rosalie Ham,Paperback,3.5,8.29,$,11.4,9.78185E+12,Romance,dataset/Romance/0000018.jpg,18
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780622286.jpg,Six of Crows,Leigh Bardugo,Paperback,4.5,8.8,$,10.5,9.78178E+12,Romance,dataset/Romance/0000019.jpg,19
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408857861.jpg,A Court of Thorns and Roses,Sarah J. Maas,Paperback,4.5,9.02,$,10.5,9.78141E+12,Romance,dataset/Romance/0000020.jpg,20
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3458/9780345803481.jpg,Fifty Shades of Grey,E L James,Paperback,3.5,10.61,$,,9.78035E+12,Romance,dataset/Romance/0000021.jpg,21
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3458/9780345804044.jpg,Fifty Shades Trilogy,E L James,Paperback,4,26.44,$,34.99,9.78035E+12,Romance,dataset/Romance/0000022.jpg,22
