image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099590088.jpg,Sapiens,Yuval Noah Harari,Paperback,4.5,12.98,$,,9.7801E+12,Science-Geography,dataset/Science-Geography/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9.78178E+12,Science-Geography,dataset/Science-Geography/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784703936.jpg,Homo Deus,Yuval Noah Harari,Paperback,4.5,12.9,$,,9.78178E+12,Science-Geography,dataset/Science-Geography/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473695986.jpg,Brief Answers to the Big Questions,Stephen Hawking,Hardback,4.5,11.64,$,18,9.78147E+12,Science-Geography,dataset/Science-Geography/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4,5.92,$,14.8,9.78033E+12,Science-Geography,dataset/Science-Geography/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8575/9780857501004.jpg,A Brief History Of Time,Stephen Hawking,Paperback,4,9.62,$,12.4,9.78086E+12,Science-Geography,dataset/Science-Geography/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723044.jpg,The Clever Guts Diet,Michael Mosley,Paperback,4,8.92,$,11.3,9.78178E+12,Science-Geography,dataset/Science-Geography/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846685828.jpg,Being Mortal,Atul Gawande,Paperback,4.5,9.03,$,11.5,9.78185E+12,Science-Geography,dataset/Science-Geography/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847946249.jpg,The Power of Habit,Charles Duhigg,Paperback,4,10.41,$,12.4,9.78185E+12,Science-Geography,dataset/Science-Geography/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9252/9781925228601.jpg,Gut,Giulia Enders,Paperback,4,10.49,$,11.4,9.78193E+12,Science-Geography,dataset/Science-Geography/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141038872.jpg,The Brain That Changes Itself,Norman Doidge,Paperback,4,11.03,$,13.9,9.78014E+12,Science-Geography,dataset/Science-Geography/0000011.jpg,11
