image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099590088.jpg,Sapiens,Yuval Noah Harari,Paperback,4.5,12.98,$,,9.7801E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4,8.3,$,9.5,9.78144E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4,11.5,$,15,9.78014E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141986005.jpg,Good Night Stories for Rebel Girls,Elena Favilli,Hardback,4.5,20.86,$,24,9.78014E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241334140.jpg,Becoming,Michelle Obama,Hardback,4.5,24.21,$,26,9.78024E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511021.jpg,Educated,Tara Westover,Paperback,4.5,9.61,$,11.5,9.7801E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4,8.9,$,12.4,9.78024E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9.78178E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4,8.34,$,13.9,9.78185E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9.78141E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9.78185E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4,13.55,$,21.6,9.78161E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141978611.jpg,The Body Keeps the Score,Bessel van der Kolk,Paperback,4.5,10.99,$,13.9,9.78014E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784703936.jpg,Homo Deus,Yuval Noah Harari,Paperback,4.5,12.9,$,,9.78178E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3455/9780345514400.jpg,I Know Why the Caged Bird Sings,Maya Angelou,Paperback,4,7.07,$,,9.78035E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141983769.jpg,Why We Sleep,Matthew Walker,Paperback,4.5,9.93,$,12.4,9.78014E+12,Society-Social-Sciences,dataset/Society-Social-Sciences/0000016.jpg,16
