image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780674872.jpg,Enchanted Forest,Johanna Basford,Paperback,4.5,12.23,$,12.4,9.78178E+12,Stationery,dataset/Stationery/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7837/9781783705481.jpg,Harry Potter Colouring Book,J. K. Rowling,Paperback,4.5,9.52,$,12.4,9.78178E+12,Stationery,dataset/Stationery/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3077/9780307719775.jpg,Q And A A Day,Potter Style,Hardback,4.5,12.52,$,18.5,9.78031E+12,Stationery,dataset/Stationery/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4,6.8,$,10.5,9.78075E+12,Stationery,dataset/Stationery/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141976143.jpg,Wreck This Journal,Keri Smith,Paperback,4,9.59,$,12.9,9.78014E+12,Stationery,dataset/Stationery/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705625.jpg,Moleskine Large Watercolour Album And Notebook,Moleskine,Notebook / blank book,0,11.86,$,19.9,9.78888E+12,Stationery,dataset/Stationery/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883701122.jpg,Moleskine Large Ruled Hardcover Notebook Black,Moleskine,Notebook / blank book,4.5,12.97,$,18.9,9.78888E+12,Stationery,dataset/Stationery/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811870191.jpg,One Line a Day,Chronicle Books,Calendar,4.5,9.65,$,13.5,9.78081E+12,Stationery,dataset/Stationery/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6924/9780692452745.jpg,Create This Book,Moriah Elizabeth,Paperback,4.5,17.05,$,,9.78069E+12,Stationery,dataset/Stationery/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.6,$,12.9,9.78185E+12,Stationery,dataset/Stationery/0000010.jpg,10
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883701153.jpg,Moleskine Large Sketchbook Black,,Notebook / blank book,4.5,12.18,$,19.9,9.78888E+12,Stationery,dataset/Stationery/0000011.jpg,11
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883701146.jpg,Moleskine Large Plain Notebook,,Notebook / blank book,0,11.63,$,18.9,9.78888E+12,Stationery,dataset/Stationery/0000012.jpg,12
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8461/9781846148583.jpg,Wreck This Journal Everywhere,Keri Smith,Paperback,4,5.83,$,7.8,9.78185E+12,Stationery,dataset/Stationery/0000013.jpg,13
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705601.jpg,Moleskine Pocket Watercolour Notebook,Moleskine,Notebook / blank book,5,9.7,$,15.9,9.78888E+12,Stationery,dataset/Stationery/0000014.jpg,14
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811868952.jpg,Just Between Us Mother & Daughter,Meredith Jacobs,Notebook / blank book,4.5,11.94,$,15.5,9.78081E+12,Stationery,dataset/Stationery/0000015.jpg,15
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3800/9780380015399.jpg,Satanic Bible,Anton Szandor Lavey,Paperback,3.5,7.06,$,10.3,9.78038E+12,Stationery,dataset/Stationery/0000016.jpg,16
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/3382/9781338219630.jpg,LEGO Gadgets,Editors of Klutz,Mixed media product,5,13.8,$,17,9.78134E+12,Stationery,dataset/Stationery/0000017.jpg,17
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883707162.jpg,Moleskine Soft Large Ruled Notebook Black,Moleskine,Notebook / blank book,0,14.63,$,18.9,9.78888E+12,Stationery,dataset/Stationery/0000018.jpg,18
