image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853261589.jpg,The Little Prince,Antoine de Saint-Exupery,Paperback,4.5,3.19,$,,9.78185E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565355.jpg,Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,Hardback,3.5,15.43,$,26.3,9.78075E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5525/9780552565974.jpg,Wonder,R. J. Palacio,Paperback,4.5,8.32,$,8.8,9.78055E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141340555.jpg,Roald Dahl's Marvellous Joke Book,Roald Dahl,Paperback,4,5.84,$,6.2,9.78014E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7805/9781780552491.jpg,Brain Games For Clever Kids,Gareth Moore,Paperback,4,4.5,$,6.2,9.78178E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408845646.jpg,Harry Potter and the Philosopher's Stone,J. K. Rowling,Hardback,4.5,30.91,$,38.6,9.78141E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9.78141E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4390/9780439023528.jpg,The Hunger Games,Suzanne Collins,Paperback,4.5,10.96,$,12.9,9.78044E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007371464.jpg,Gangsta Granny,David Walliams,Paperback,4.5,7.52,$,8.99,9.78001E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408876985.jpg,Fantastically Great Women Who Changed The World,Kate Pankhurst,Paperback,4.5,7.82,$,8.8,9.78141E+12,Teen-Young-Adult,dataset/Teen-Young-Adult/0000010.jpg,10
