image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,id
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9.78024E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000001.jpg,1
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747585664.jpg,"Eat, Pray, Love",Elizabeth Gilbert,Paperback,3.5,8.86,$,11.4,9.78075E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000002.jpg,2
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250038821.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,21.46,$,30.4,9.78125E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000003.jpg,3
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8619/9781861978776.jpg,Born to Run,Christopher McDougall,Paperback,4.5,9.05,$,12.4,9.78186E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000004.jpg,4
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405930994.jpg,Lion,Saroo Brierley,Paperback,4,8.85,$,10.8,9.78141E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000005.jpg,5
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3303/9780330351690.jpg,Into the Wild,Jon Krakauer,Paperback,4,7.07,$,11.4,9.78033E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000006.jpg,6
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405937184.jpg,The Salt Path,Raynor Winn,Paperback,4,9.53,$,12.9,9.78141E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000007.jpg,7
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7823/9781782390626.jpg,Wild,Cheryl Strayed,Paperback,4,8.79,$,9.5,9.78178E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000008.jpg,8
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849905787.jpg,Rick Stein's India,Rick Stein,Hardback,4.5,29.12,$,31.74,9.78185E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000009.jpg,9
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761169086.jpg,Atlas Obscura,Joshua Foer,Hardback,4,26.94,$,30.95,9.78076E+12,Travel-Holiday-Guides,dataset/Travel-Holiday-Guides/0000010.jpg,10
